,location,event,date,artists,genre
1509,Lausanne,METROPOP FESTIVAL,2015-11-05,[ALPHA BLONDY],
1510,Lausanne,METROPOP FESTIVAL,2015-11-06,[CALEXICO],
1511,Lausanne,METROPOP FESTIVAL,2015-11-07,[ARCHIVE],
1512,Lausanne,JAZZ ONZE +,2015-11-11,[WADADA LEO SMITH],
1513,Bern,FESTIVAL SAINT GHETTO,2015-11-19,[OLOF ARNALDS],
1514,Bern,FESTIVAL SAINT GHETTO,2015-11-20,[NENEH CHERRY & ROCKETNUMBERNINE],
1515,Bern,FESTIVAL SAINT GHETTO,2015-11-21,[BIANCA CASADY],
1516,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2015-11-26,[MIMETIC],
1517,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2015-11-27,"[NATHAN FAKE, PANTHA DU PRINCE]",
1518,Geneve,PRESENCES ELECTRONIQUES A GENEVE,2015-11-28,"[DOMINIK EULBERG, JOHN PAUL JONES]",
1519,Le Paquier,CHRISTMAS ROCK,2015-12-19,[TYAGO (chanson)],
1520,Geneve,PSYCH FEST GENEVE,2016-01-16,[DJ KORTO],
1521,Geneve,PSYCH FEST GENEVE,2016-01-22,[STRANGE MILK],
1522,Geneve,PSYCH FEST GENEVE,2016-01-23,[MAGIC & NAKED],
1523,Vernier,ANTIGEL,2016-01-29,[MYKKI BLANCO],
1524,Vernier,ANTIGEL,2016-01-30,[BRODINSKI],
1525,Geneve,ANTIGEL,2016-01-31,[JUNIP (JOSE GONZALEZ)],
1526,Geneve,ANTIGEL,2016-02-01,[BALTHAZAR],
1527,Le Lignon,ANTIGEL,2016-02-02,[MICHAEL CHAPMAN],
1528,Satigny,ANTIGEL,2016-02-03,[SAM AMIDON],
1529,Vernier,ANTIGEL,2016-02-04,[DAN SHAKE],
1530,Vernier,ANTIGEL,2016-02-05,[ANGEL HAZE],
1531,Geneve,ANTIGEL,2016-02-06,[MARIANNE FAITHFULL],
1532,Geneve,ANTIGEL,2016-02-07,[GENEVA CAMERATA],
1533,Confignon,ANTIGEL,2016-02-08,[CARD ON SPOKES],
1534,Geneve,ANTIGEL,2016-02-09,[JACCO GARDNER],
1535,Geneve,ANTIGEL,2016-02-10,[NICOLAS GODIN],
1536,Le Lignon,ANTIGEL,2016-02-11,[ZITA SWOON],
1537,Le Lignon,ANTIGEL,2016-02-12,[ZITA SWOON],
1538,Vernier,ANTIGEL,2016-02-13,[CASSY],
1539,Vernier,ANTIGEL,2016-02-14,[JEFF MILLS],
1540,Leysin,WORLDWIDE FESTIVAL LEYSIN,2016-03-17,[RAINER TRUBY],
1541,Leysin,WORLDWIDE FESTIVAL LEYSIN,2016-03-18,[LEFTO],
1542,Leysin,WORLDWIDE FESTIVAL LEYSIN,2016-03-19,[KIDKANEVIL],
1543,Leysin,WORLDWIDE FESTIVAL LEYSIN,2016-03-20,[GILLES PETERSON],
1544,Lausanne,IMPETUS FESTIVAL SUISSE,2016-04-07,[LONELY WALK],
1545,Lausanne,IMPETUS FESTIVAL SUISSE,2016-04-08,[AT THE DRIVE IN],
1546,Fribourg,DUPLEX,2016-04-15,[MUZI],
1547,Fribourg,DUPLEX,2016-04-16,[MIA KALTES],
1548,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-20,[RICHARD GALLIANO],
1549,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-21,[NILS LANDGREN],
1550,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-22,[KENNY GARRETT],
1551,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-24,[MARIUS NESET],
1552,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-27,[MARTIN TINGVALL],
1553,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-28,[ANDREAS SCHAERER],
1554,Bale (Basel),JAZZFESTIVAL BASEL,2016-04-29,[MARIA JOAO],
1555,Monthey,ECHOOOES FESTIVAL,2016-04-30,[CASCADA],
1556,Bale (Basel),JAZZFESTIVAL BASEL,2016-05-03,[PAOLO FRESU],
1557,Geneve,MAPPING FESTIVAL,2016-05-04,[CALL SUPER],
1558,Geneve,MAPPING FESTIVAL,2016-05-06,[SHACKLETON],
1559,Geneve,MAPPING FESTIVAL,2016-05-07,[ORPHX],
1560,Bale (Basel),JAZZFESTIVAL BASEL,2016-05-08,[ED MOTTA],
1561,Bale (Basel),JAZZFESTIVAL BASEL,2016-05-10,[DEE DEE BRIDGEWATER],
1562,La Chaux du Milieu,CORBAK,2016-05-11,[GAETAN],
1563,La Chaux du Milieu,CORBAK,2016-05-12,[CHLOE LACAN],
1564,La Chaux du Milieu,CORBAK,2016-05-13,[SOPHIE HUNGER],
1565,La Chaux du Milieu,CORBAK,2016-05-14,[THE RAMBLING WHEELS],
1566,Crissier,BLUES RULES CRISSIER,2016-05-20,[NAOMI SHELTON],
1567,Crissier,BLUES RULES CRISSIER,2016-05-21,[CEDRIC BURNSIDE],
1568,Carouge,LOKOS,2016-05-27,[RANDOM RAGE],
1569,Carouge,LOKOS,2016-05-28,[ANTICHAMBRE],
1570,Duedingen,BAD BONN KILBI,2016-06-02,[TY SEGALL],
1571,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-03,"[INGRID ST-PIERRE, LES COWBOYS FRINGANTS]",
1572,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-04,"[ANDREA LINDSAY, LES COWBOYS FRINGANTS]",
1573,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-05,"[ROBERT CHARLEBOIS, NATASHA ST PIER]",
1574,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-06,[ANDREA LINDSAY],
1575,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-07,[MARIO PELCHAT],
1576,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-08,"[FRED PELLERIN, COEUR DE PIRATE]",
1577,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-09,[LYNDA LEMAY],
1578,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-10,[PAULE ANDREE CASSIDY],
1579,Pully,PULLY A L'HEURE DU QUEBEC,2016-06-11,[LYNDA LEMAY],
1580,Mezieres,PULLY A L'HEURE DU QUEBEC,2016-06-12,[MICHEL BUHLER],
1581,Payerne,RED PIGS FESTIVAL,2016-06-23,[CHRISTOPHE WILLEM],
1582,Payerne,RED PIGS FESTIVAL,2016-06-24,[SOLDAT LOUIS],
1583,Payerne,RED PIGS FESTIVAL,2016-06-25,[SILVER DUST],
1584,Geneve,L'AMR AUX CROPETTES,2016-06-29,[MATHIEU ROSSIGNELLY],
1585,Saint Gallen,OPEN AIR DE SAINT GALLEN,2016-06-30,[FETTES BROT],
1586,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2016-07-01,[JON MORE],
1587,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2016-07-02,[STAVROZ],
1588,Sierre,WEEK END AU BORD DE L'EAU A SIERRE,2016-07-03,[IMPERIAL TABASCO],
1589,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-04,"[BUDDY GUY, BASIA BULAT, ASAP FERG]",
1590,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-05,"[MOGWAI, SELWYN BIRCHWOOD, AURORA]",
1591,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-06,"[PATTI SMITH, YARON HERMAN, MESHUGGAH]",
1592,Frauenfeld,OPENAIR FRAUENFELD,2016-07-07,[BREITBILD],
1593,Frauenfeld,OPENAIR FRAUENFELD,2016-07-08,[HOPSIN],
1594,Frauenfeld,OPENAIR FRAUENFELD,2016-07-09,[PULLUP ORCHESTRA],
1595,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-10,"[LAMUZGUEULE, ANGELIQUE KIDJO, AVISHAI COHEN (trompette), OTHER LIVES]",
1596,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-11,"[JEAN MICHEL JARRE, CHRISTIAN SCOTT, ALLAH LAS]",
1597,Montreux,MONTREUX JAZZ FESTIVAL,2016-07-12,"[NEIL YOUNG & PROMISE OF THE REAL, ULF WAKENIUS, HAELOS]",
1598,Locarno,MOON AND STARS,2016-07-13,[PHARRELL WILLIAMS],
1599,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2016-07-14,[RICHARD GALLIANO],
1600,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2016-07-15,[JEREMY PELT],
1601,Estavayer le Lac,SWING IN THE WIND - SWINGIN,2016-07-16,[ULF WAKENIUS],
1602,Locarno,MOON AND STARS,2016-07-17,[77 BOMBAY STREET],
1603,Nyon,PALEO FESTIVAL,2016-07-19,[MUSE],
1604,Nyon,PALEO FESTIVAL,2016-07-20,[LOUISE ATTAQUE],
1605,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-07-21,[FANFARIBOLE],
1606,Sion,PALP FESTIVAL (PLACE A LA PLACE),2016-07-22,[BYE BENECO],
1607,Nyon,PALEO FESTIVAL,2016-07-23,[THE CHEMICAL BROTHERS],
1608,Nyon,PALEO FESTIVAL,2016-07-24,[MICHEL POLNAREFF],
1609,Vallorcine,COSMOJAZZ FESTIVAL,2016-07-25,[ELINA DUNI],
1610,Les Houches,COSMOJAZZ FESTIVAL,2016-07-27,[ANDREAS SCHAERER],
1611,Chamonix Mont Blanc,COSMOJAZZ FESTIVAL,2016-07-28,"[BLICK BASSY, CEUX QUI MARCHENT DEBOUT (CQMD)]",
1612,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-07-29,[XY],
1613,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-07-30,[ARNO],
1614,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-07-31,[FANFARIBOLE],
1615,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-08-04,[TRIO TRIOCHE],
1616,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-08-05,[MARK LANEGAN],
1617,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-08-06,"[SYSTEMA SOLAR, MARK LANEGAN]",
1618,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-08-07,[LA YEGROS],
1619,Le Locle,ROCK ALTITUDE,2016-08-10,[STEVE 'N' SEAGULLS],
1620,Le Locle,ROCK ALTITUDE,2016-08-11,[KADEBOSTANY],
1621,Le Locle,ROCK ALTITUDE,2016-08-12,[MUTOID MAN],
1622,Le Locle,ROCK ALTITUDE,2016-08-13,[STUCK IN THE SOUND],
1623,Bagnes,PALP FESTIVAL (PLACE A LA PLACE),2016-08-14,[THE YOUNG GODS],
1624,Martigny,PALP FESTIVAL (PLACE A LA PLACE),2016-08-16,[JELLO BIAFRA],
1625,Penthalaz,VENOGE FESTIVAL,2016-08-17,[KOOL & THE GANG],
1626,Penthalaz,VENOGE FESTIVAL,2016-08-18,[ALPHA BLONDY],
1627,Penthalaz,VENOGE FESTIVAL,2016-08-19,[BASTIAN BAKER],
1628,Penthalaz,VENOGE FESTIVAL,2016-08-20,[FRERO DELAVEGA],
1629,Sion,PALP FESTIVAL (PLACE A LA PLACE),2016-08-25,[THEE OH SEES],
1630,Vevey,NOX ORAE,2016-08-26,[THURSTON MOORE (SONIC YOUTH)],
1631,Montreux,SEPTEMBRE MUSICAL,2016-08-27,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES],
1632,Montreux,SEPTEMBRE MUSICAL,2016-08-28,[ROYAL PHILARMONIC ORCHESTRA DE LONDRES],
1633,Montreux,SEPTEMBRE MUSICAL,2016-08-30,[YOUTH ORCHESTRA OF BAHIA],
1634,Bulle,FRANCOMANIAS,2016-08-31,"[YOUSSOUPHA, JOHN DEAR]",
1635,Veyras en Valais,TOHU BOHU A VEYRAS,2016-09-01,[PATRICK BRUEL],
1636,Veyras en Valais,TOHU BOHU A VEYRAS,2016-09-02,[THE LOCOS],
1637,Veyras en Valais,TOHU BOHU A VEYRAS,2016-09-03,[2 MANY DJ'S],
1638,Meyrin,FESTIVAL DE LA BATIE,2016-09-04,[GUILHERME BOTELHO],
1639,Meyrin,FESTIVAL DE LA BATIE,2016-09-05,[GUILHERME BOTELHO],
1640,Geneve,FESTIVAL DE LA BATIE,2016-09-06,"[CAROLINE BERGVALL, EVELINE MURENBEELD, MARIE CAROLINE HOMINAL, BEAK >]",
1641,Nyon,FESTIVAL DE LA BATIE,2016-09-08,[CHARLIE CUNNINGHAM],
1642,Carouge,MURS DU SON A CAROUGE,2016-09-09,[FOXTROTT],
1643,Carouge,MURS DU SON A CAROUGE,2016-09-10,[LADYBIRDS],
1644,Les Acacias,FESTIVAL DE LA BATIE,2016-09-12,[CECILIA BENGOLEA],
1645,Onex,FESTIVAL DE LA BATIE,2016-09-13,[MIOSSEC],
1646,Les Acacias,FESTIVAL DE LA BATIE,2016-09-14,[FRANCOIS CHAIGNAUD],
1647,Les Acacias,FESTIVAL DE LA BATIE,2016-09-15,[THEO MERCIER],
1648,Les Acacias,FESTIVAL DE LA BATIE,2016-09-16,"[TOSHIKI OKADA, FRANCOIS CHAIGNAUD]",
1649,Les Acacias,FESTIVAL DE LA BATIE,2016-09-17,[TOSHIKI OKADA],
1650,Etagnieres,CROC THE ROCK,2016-09-27,[KADEBOSTANY],
1651,Thonon Les Bains,JAZZCONTREBAND,2016-10-01,[MICHEL PORTAL],
1652,Carouge,JAZZCONTREBAND,2016-10-04,[INGRID KAMBARA],
1653,Annemasse,JAZZCONTREBAND,2016-10-05,[CELINE BONACINA],
1654,Marcellaz,JAZZCONTREBAND,2016-10-06,[WEJAZZ],
1655,Yverdon Les Bains,JAZZCONTREBAND,2016-10-07,[LALALA NAPOLI],
1656,Sion,JAZZCONTREBAND,2016-10-08,[HELMY MORE FUNKER'S BIG BAND HMF],
1657,Thonon Les Bains,JAZZCONTREBAND,2016-10-11,[HUGH COLTMAN],
1658,Annecy,JAZZCONTREBAND,2016-10-12,[MATHIEU ROSSIGNELLY],
1659,Le Lignon,VERNIER SUR ROCK,2016-10-13,[SAMAEL],
1660,Le Lignon,VERNIER SUR ROCK,2016-10-14,[DANAKIL],
1661,Le Lignon,VERNIER SUR ROCK,2016-10-15,[DJ MAKALA],
1662,Gstaad,MDRNTY,2016-10-16,[GUTI],
1663,Geneve,JAZZCONTREBAND,2016-10-17,[GREGOR VIDIC],
1664,Geneve,JAZZCONTREBAND,2016-10-18,[GREGOR VIDIC],
1665,Saint Genis Pouilly,JAZZCONTREBAND,2016-10-19,[BELLE EPOQUE (EMILE PARISIEN / VINCENT PEIRANI)],
1666,Onex,JAZZCONTREBAND,2016-10-20,[MARC PERRENOUD],
1667,Onex,JAZZCONTREBAND,2016-10-21,[MARC PERRENOUD],
1668,Saint Claude,JAZZCONTREBAND,2016-10-22,[DASHUR],
1669,Marcellaz,JAZZCONTREBAND,2016-10-23,[SOLARIAN],
1670,Nyon,JAZZCONTREBAND,2016-10-28,[ELECTRO DELUXE],
1671,Lausanne,JAZZCONTREBAND,2016-10-29,[SAMUEL BLASER],
1672,Lausanne,FESTIVAL BACH DE LAUSANNE,2016-10-30,[THE ENGLISH CONCERT],
1673,Lausanne,JAZZ ONZE +,2016-11-02,"[LEON PHAL, FLORIAN FAVRE, GARY PEACOCK]",
1674,Lausanne,JAZZ ONZE +,2016-11-03,"[JOSQUIN ROSSET, DAVID SANBORN, MARCUS STRICKLAND, TERRACE MARTIN]",
1675,Lausanne,JAZZ ONZE +,2016-11-04,"[AA TRIO, JULIAN SARTORIUS, DAVE HOLLAND, THE HOT 8 BRASS BAND]",
1676,Lausanne,JAZZ ONZE +,2016-11-05,"[ETIENNE LOUPOT, AMINE & HAMZA M'RAHI, DHAFER YOUSSEF, PABLO NOUVELLE]",
1677,Lausanne,JAZZ ONZE +,2016-11-06,[JOHN SCOFIELD],
1678,Lausanne,METROPOP FESTIVAL,2016-11-10,[VITALIC],
1679,Lausanne,METROPOP FESTIVAL,2016-11-11,[THE KILLS],
1680,Lausanne,METROPOP FESTIVAL,2016-11-12,[ANTHONY B],
1681,Lausanne,FESTIVAL BACH DE LAUSANNE,2016-11-18,[FRIEDERIKE HEUMANN],
1682,Geneve,FESTIVAL COULEUR CAFE GENEVE,2016-11-24,[FLAVIA COELHO],
1683,Geneve,FESTIVAL COULEUR CAFE GENEVE,2016-11-25,[BABA TOURE],
1684,Nyon,NYON'S ON FIRE,2016-11-26,[RISE OF THE NORTHSTAR],
1685,Lausanne,FESTIVAL BACH DE LAUSANNE,2016-11-27,[JEAN TUBERY],
1686,Morgins,C'EST L'HIVER ! MORGINS FESTIVAL,2016-12-03,[SALUT C'EST COOL],
1687,Le Paquier,CHRISTMAS ROCK,2016-12-17,[SOLDAT LOUIS],
1688,Geneve,PSYCH FEST GENEVE,2017-01-19,[TRUMPETS OF CONSCIOUSNESS],
1689,Geneve,PSYCH FEST GENEVE,2017-01-20,[THE EYE'S SHAKER],
1690,Geneve,PSYCH FEST GENEVE,2017-01-21,[LAUREN STUART AND THE GOLDEN STATE OF MIND],
1691,Geneve,ANTIGEL,2017-01-27,[ZERO],
